weird_dates,height,depth,date
736451.0007,3.428479534,0,'01-May-2016 00:00:59.999'
736451.0424,3.428479534,0,'01-May-2016 01:00:59.999'
736451.084,3.428479534,0,'01-May-2016 02:01:00.000'
736451.1257,3.428479534,0,'01-May-2016 03:00:59.999'
736451.1674,3.428479534,0,'01-May-2016 04:00:59.999'
736451.209,3.428479534,0,'01-May-2016 05:01:00.000'
736451.2507,3.428479534,0,'01-May-2016 06:00:59.999'
736451.2924,3.428479534,0,'01-May-2016 07:00:59.999'
736451.334,3.428479534,0,'01-May-2016 08:01:00.000'
736451.3757,3.428479534,0,'01-May-2016 09:00:59.999'
736451.3979,3.428479534,0,'01-May-2016 09:33:00.000'
736451.4174,3.428479534,0,'01-May-2016 10:00:59.999'
736451.4396,3.428479534,0,'01-May-2016 10:32:59.999'
736451.459,3.428479534,0,'01-May-2016 11:01:00.000'
736451.4799,3.428479534,0,'01-May-2016 11:30:59.999'
736451.5007,3.428479534,0,'01-May-2016 12:00:59.999'
736451.5215,3.428479534,0,'01-May-2016 12:31:00.000'
736451.5424,3.428479534,0,'01-May-2016 13:00:59.999'
736451.5632,3.428479534,0,'01-May-2016 13:30:59.999'
736451.5854,3.428479534,0,'01-May-2016 14:03:00.000'
736451.6049,3.428479534,0,'01-May-2016 14:30:59.999'
736451.6257,3.428479534,0,'01-May-2016 15:00:59.999'
736451.6465,3.428479534,0,'01-May-2016 15:31:00.000'
736451.6674,3.428479534,0,'01-May-2016 16:00:59.999'
736451.6882,3.428479534,0,'01-May-2016 16:30:59.999'
736451.709,3.428479534,0,'01-May-2016 17:01:00.000'
736451.7299,3.428479534,0,'01-May-2016 17:30:59.999'
736451.7507,3.428479534,0,'01-May-2016 18:00:59.999'
736451.7715,3.428479534,0,'01-May-2016 18:31:00.000'
736451.7924,3.428479534,0,'01-May-2016 19:00:59.999'
736451.8132,3.428479534,0,'01-May-2016 19:30:59.999'
736451.834,3.428479534,0,'01-May-2016 20:01:00.000'
736451.8549,3.428479534,0,'01-May-2016 20:30:59.999'
736451.8757,3.428479534,0,'01-May-2016 21:00:59.999'
736451.9174,3.428479534,0,'01-May-2016 22:00:59.999'
736451.959,3.428479534,0,'01-May-2016 23:01:00.000'
736452.0007,3.428479534,0,'02-May-2016 00:00:59.999'
