depth_m;density_kgm3
0.1;302.224102635079
0.2;290.112982215435
0.3;278.00186179579
0.4;306.176310040253
0.5;348.437982406948
0.6;337.221252535211
0.7;375.575650230554
0.8;467.977285930878
0.9;468.987793506065
1;492.81050959109
1.1;396.642936363999
1.2;425.380979247346
1.3;632.160553328555
1.4;713.141560409071
1.5;707.390067251253
1.6;387.12769762639
1.7;361.414078199697
1.8;348.541549479626
1.9;394.044060585446
2;487.797764578819
2.1;462.865801779726
2.2;465.675574231842
2.3;496.18616628531
2.4;452.94317878449
2.5;392.132057767425
2.6;349.399223484866
2.7;366.755864910627
2.8;401.652059840406
2.9;578.878620997288
3;865.665349111066
3.1;734.729952842451
3.2;502.065074800507
3.3;724.441862940858
3.4;608.873601307635
3.5;491.082728768555
3.6;886.551979297076
3.7;591.427628032846
3.8;521.289420025335
3.9;616.951365202769
4;708.687488450601
4.1;405.078803306483
4.2;728.493436924258
4.3;867.099708474733
4.4;646.169068953096
4.5;524.904791572113
4.6;487.132018411639
4.7;460.566897046176
4.8;448.934832069583
4.9;440.132188303513
5;446.478737268782
5.1;507.68461970474
5.2;524.03238669887
5.3;625.125248699835
5.4;866.914448752616
5.5;605.17951334494
5.6;708.494930618217
5.7;629.624814374902
5.8;579.893806848285
5.9;733.228787700202
6;576.007282435497
6.1;597.027524178672
6.2;523.639411530742
6.3;897.08371380291
6.4;893.625532323383
6.5;789.880087937554
6.6;547.807384370622
6.7;702.757493163545
6.8;557.29492771543
6.9;771.773289238468
7;838.81859554178
7.1;896.710387393189
7.2;844.896611475494
7.3;901.799415820448
7.4;796.069446835573
7.5;519.63986276736
7.6;592.361886694813
7.7;576.849372081487
7.8;583.819628777885
7.9;530.925171147838
8;694.479914928569
8.1;540.02098284041
8.2;511.850156486898
8.3;842.145785298597
8.4;762.21070634965
8.5;627.502748467008
8.6;570.725696175855
8.7;566.255478220791
8.8;729.492739823947
8.9;688.394481930325
9;583.253744535781
9.1;603.184235908876
9.2;709.669321793737
9.3;696.528836748716
9.4;666.391571104969
9.5;646.554184617861
9.6;654.413687980423
9.7;679.06109052542
9.8;867.571278676488
9.9;598.430445528888
10;562.677564732591
10.1;688.170254922631
10.2;614.05679284595
10.3;686.945413372286
10.4;572.957795130823
10.5;662.386229494288
10.6;820.492853534736
10.7;890.08875581023
10.8;792.642703369491
10.9;552.192987246933
11;552.664557448686
11.1;540.482327236714
11.2;627.199523756636
11.3;668.397519188986
11.4;589.8347686847
11.5;605.73192415271
11.6;606.470717468791
11.7;593.455379900387
11.8;571.763150619714
11.9;571.700274592813
12;622.62985638222
12.1;663.285944490561
12.2;662.839075585092
12.3;707.210769425954
12.4;717.616469218524
12.5;638.781740369468
12.6;598.599718116235
12.7;730.965485343824
12.8;871.206298981673
12.9;904.742196685205
13;586.31895084718
13.1;589.698537293082
13.2;620.1148153062
13.3;629.074649139521
13.4;618.88873278164
13.5;621.529525911461
13.6;617.128204028426
13.7;599.082784307982
13.8;630.764442362473
13.9;587.890851519692
14;636.882111285788
14.1;659.811499623124
14.2;673.779504265778
14.3;822.578948532976
14.4;630.528657261595
14.5;675.170636360951
14.6;704.761666521
14.7;784.535625651011
14.8;646.082614416106
14.9;702.876814714596
15;842.163647806238
15.1;773.194362298835
15.2;673.370810090925
15.3;668.214975885084
15.4;690.693155502013
15.5;690.693155502013
15.6;740.467390297124
15.7;656.897291042993
15.8;664.00228208275
15.9;714.083037508999
16;767.794883488754
16.1;692.107866107274
16.2;621.215145776958
16.3;624.751922290112
16.4;631.636847235717
16.5;634.419111426073
16.6;903.960779245153
16.7;905.218299783163
16.8;879.013405655147
16.9;774.816039825976
17;811.519920529139
17.1;663.753772071667
17.2;908.558588712243
17.3;656.111340706737
17.4;658.018938494716
17.5;662.47
17.6;662.47
17.7;662.47
17.8;662.47
17.9;662.47
18;662.47
18.1;670.726
18.2;672.79
18.3;672.79
18.4;672.79
18.5;672.79
18.6;672.79
18.7;672.79
18.8;672.79
18.9;672.79
19;672.79
19.1;667.36
19.2;661.93
19.3;661.93
19.4;661.93
19.5;661.93
19.6;661.93
19.7;661.93
19.8;661.93
19.9;661.93
20;661.93
20.1;651.56
20.2;651.56
20.3;651.56
20.4;651.56
20.5;651.56
20.6;651.56
20.7;651.56
20.8;668.115000000001
20.9;675.21
21;675.21
21.1;675.21
21.2;675.21
21.3;675.21
21.4;675.21
21.5;675.21
21.6;675.21
21.7;675.21
21.8;672.636
21.9;662.34
22;662.34
22.1;662.34
22.2;662.34
22.3;662.34
22.4;662.34
22.5;662.34
22.6;662.34
22.7;662.34
22.8;662.34
22.9;672.620000000001
23;675.19
23.1;675.19
23.2;675.19
23.3;675.19
23.4;675.19
23.5;675.19
23.6;675.19
23.7;675.19
23.8;675.19
23.9;677.147
24;694.76
24.1;694.76
24.2;694.76
24.3;694.76
24.4;694.76
24.5;694.76
24.6;694.76
24.7;694.76
24.8;694.76
24.9;704.704000000002
25;744.48
25.1;744.48
25.2;744.48
25.3;744.48
25.4;744.48
25.5;744.48
25.6;744.48
25.7;744.48
25.8;744.48
25.9;744.48
26;706.947999999998
26.1;650.65
26.2;650.65
26.3;650.65
26.4;650.65
26.5;650.65
26.6;650.65
26.7;650.65
26.8;650.65
26.9;650.65
27;662.074000000001
27.1;679.21
27.2;679.21
27.3;679.21
27.4;679.21
27.5;679.21
27.6;679.21
27.7;679.21
27.8;679.21
27.9;679.21
28;693.550000000002
28.1;750.91
28.2;750.91
28.3;750.91
28.4;750.91
28.5;750.91
28.6;750.91
28.7;750.91
28.8;750.91
28.9;744.963999999999
29;721.18
29.1;721.18
29.2;721.18
29.3;721.18
29.4;721.18
29.5;721.18
29.6;721.18
29.7;721.18
29.8;721.18
29.9;721.18
30;721.18
30.1;728.236
30.2;732.94
30.3;732.94
30.4;732.94
30.5;732.94
30.6;732.94
30.7;732.94
30.8;732.94
30.9;732.94
31;732.94
31.1;702.091000000001
31.2;688.87
31.3;688.87
31.4;688.87
31.5;688.87
31.6;688.87
31.7;688.87
31.8;688.87
31.9;688.87
32;688.87
32.1;689.116
32.2;690.1
32.3;690.1
32.4;690.1
32.5;690.1
32.6;690.1
32.7;690.1
32.8;690.1
32.9;690.1
33;690.1
33.1;690.1
33.2;708.259999999999
33.3;708.26
33.4;708.26
33.5;708.26
33.6;708.26
33.7;708.26
33.8;708.26
33.9;708.26
34;708.26
34.1;708.26
34.2;723.635
34.3;739.01
34.4;739.01
34.5;739.01
34.6;739.01
34.7;739.01
34.8;739.01
34.9;739.01
35;739.01
35.1;739.01
35.2;739.01
35.3;747.09
35.4;747.09
35.5;747.09
35.6;747.09
35.7;747.09
35.8;747.09
35.9;747.09
36;747.09
36.1;747.09
36.2;747.09
36.3;725.895
36.4;723.54
36.5;723.54
36.6;723.54
36.7;723.54
36.8;723.54
36.9;723.54
37;723.54
37.1;723.54
37.2;723.54
37.3;742.756000000001
37.4;747.56
37.5;747.56
37.6;747.56
37.7;747.56
37.8;747.56
37.9;747.56
38;747.56
38.1;747.56
38.2;747.56
38.3;751.155
38.4;754.75
38.5;754.75
38.6;754.75
38.7;754.75
38.8;754.75
38.9;754.75
39;754.75
39.1;754.75
39.2;754.75
39.3;753.985
39.4;753.22
39.5;753.22
39.6;753.22
39.7;753.22
39.8;753.22
39.9;753.22
40;753.22
40.1;753.22
40.2;753.22
40.3;749.446000000001
40.4;734.35
40.5;734.35
40.6;734.35
40.7;734.35
40.8;734.35
40.9;734.35
41;734.35
41.1;734.35
41.2;734.35
41.3;740.662
41.4;744.87
41.5;744.87
41.6;744.87
41.7;744.87
41.8;744.87
41.9;744.87
42;744.87
42.1;744.87
42.2;744.87
42.3;744.87
42.4;766.118999999999
42.5;768.48
42.6;768.48
42.7;768.48
42.8;768.48
42.9;768.48
43;768.48
43.1;768.48
43.2;768.48
43.3;764.556
43.4;758.67
43.5;758.67
43.6;758.67
43.7;758.67
43.8;758.67
43.9;758.67
44;758.67
44.1;758.67
44.2;767.07
44.3;786.67
44.4;786.67
44.5;786.67
44.6;786.67
44.7;786.67
44.8;786.67
44.9;786.67
45;786.67
45.1;786.67
45.2;770.512
45.3;759.74
45.4;759.74
45.5;759.74
45.6;759.74
45.7;759.74
45.8;759.74
45.9;759.74
46;759.74
46.1;759.74
46.2;759.74
46.3;764.807
46.4;765.37
46.5;765.37
46.6;765.37
46.7;765.37
46.8;765.37
46.9;765.37
47;765.37
47.1;765.37
47.2;765.37
47.3;765.73
47.4;766.57
47.5;766.57
47.6;766.57
47.7;766.57
47.8;766.57
47.9;766.57
48;766.57
48.1;766.57
48.2;766.57
48.3;766.57
48.4;766.57
48.5;766.57
48.6;766.57
48.7;766.57
48.8;766.57
48.9;766.57
49;766.57
49.1;766.57
49.2;766.57
49.3;766.57
49.4;766.57
49.5;766.57
49.6;766.57
49.7;766.57
49.8;766.57
