depth_m;density_kgm3
"0.1;319.392572871491"
"0.2;263.453760673659"
"0.3;235.573874123755"
"0.4;249.619885189225"
"0.5;302.85819099185"
"0.6;337.421546749792"
"0.7;348.087504309035"
"0.8;324.353415033281"
"0.9;319.201075077441"
"1;491.658985968791"
"1.1;395.857320190301"
"1.2;373.262884610339"
"1.3;363.57955507607"
"1.4;363.57955507607"
"1.5;368.454252113609"
"1.6;379.828545201199"
"1.7;379.828545201199"
"1.8;456.610434199435"
"1.9;477.839605436813"
"2;477.839605436813"
"2.1;477.839605436813"
"2.2;477.839605436813"
"2.3;457.20574907465"
"2.4;409.060084229604"
"2.5;409.060084229604"
"2.6;505.960616518707"
"2.7;539.460721708727"
"2.8;526.132043278993"
"2.9;526.132043278993"
"3;447.342701100924"
"3.1;344.022838426942"
"3.2;477.800193765001"
"3.3;477.800193765001"
"3.4;498.604899341566"
"3.5;519.409604918131"
"3.6;519.409604918131"
"3.7;519.409604918131"
"3.8;519.409604918131"
"3.9;519.409604918131"
"4;625.261525632794"
"4.1;612.417698376748"
"4.2;612.417698376748"
"4.3;612.417698376748"
"4.4;598.150775226794"
"4.5;541.083082626979"
"4.6;541.083082626979"
"4.7;541.083082626979"
"4.8;541.083082626979"
"4.9;541.083082626979"
"5;550.62663367713"
"5.1;551.687028238258"
"5.2;547.76977621855"
"5.3;512.514508041184"
"5.4;534.797747521235"
"5.5;568.222606741312"
"5.6;568.222606741312"
"5.7;568.222606741312"
"5.8;568.222606741312"
"5.9;568.222606741312"
"6;568.222606741312"
"6.1;411.168462948884"
"6.2;411.168462948884"
"6.3;508.614112774366"
"6.4;573.577879324688"
"6.5;573.577879324688"
"6.6;573.577879324688"
"6.7;573.577879324688"
"6.8;572.880465283803"
"6.9;566.603738915838"
"7;566.603738915838"
"7.1;566.603738915838"
"7.2;559.127948068915"
"7.3;529.224784681224"
"7.4;529.224784681224"
"7.5;463.909008468798"
"7.6;456.651700000751"
"7.7;508.381391748607"
"7.8;560.111083496464"
"7.9;560.111083496464"
"8;560.111083496464"
"8.1;581.738102143253"
"8.2;601.79085130315"
"8.3;601.79085130315"
"8.4;577.671508743058"
"8.5;577.671508743058"
"8.6;578.029421697669"
"8.7;594.314461132495"
"8.8;601.29376374742"
"8.9;571.937945837493"
"9;559.356881018954"
"9.1;557.764592834876"
"9.2;554.049253738694"
"9.3;604.302835118806"
"9.4;721.561191672397"
"9.5;721.561191672397"
