depth_m;density_kgm3
"0.1;345.487183399971"
"0.2;345.487183399971"
"0.3;381.907999778096"
"0.4;391.268489968735"
"0.5;358.447207545738"
"0.6;352.885374465191"
"0.7;378.415685983334"
"0.8;431.263311692377"
"0.9;569.219918029331"
"1;630.520728233364"
"1.1;540.733771719878"
"1.2;691.636219641704"
"1.3;723.666003930993"
"1.4;549.453291578066"
"1.5;671.642805240341"
"1.6;498.454612188096"
"1.7;633.790281271671"
"1.8;749.230653931868"
"1.9;846.562732841446"
"2;821.187294888275"
"2.1;605.734339309363"
"2.2;788.842546511347"
"2.3;656.425648459944"
"2.4;814.873218777863"
"2.5;890.70169885858"
"2.6;838.640354325549"
"2.7;822.795597293758"
"2.8;737.901302622685"
"2.9;732.07911281498"
"3;862.407489873237"
"3.1;873.725173467374"
"3.2;886.382501242042"
"3.3;901.71911737777"
"3.4;889.569930499166"
"3.5;835.245049247309"
"3.6;862.407489873237"
"3.7;825.573574175955"
"3.8;839.024830658174"
"3.9;854.187277578548"
"4;835.662016537619"
"4.1;889.757270711599"
"4.2;882.779320342684"
"4.3;882.779320342684"
"4.4;882.779320342684"
"4.5;859.62951299104"
"4.6;831.849744169068"
"4.7;839.772122684964"
"4.8;857.880416435583"
"4.9;848.826269560273"
"5;889.730507824109"
"5.1;801.479338677333"
"5.2;579.465400019813"
"5.3;690.378699242355"
"5.4;615.681987521051"
"5.5;851.743198321648"
"5.6;803.555535183725"
"5.7;545.763853317272"
"5.8;893.501336379235"
"5.9;875.078628412653"
"6;857.761282924065"
"6.1;879.896289363967"
"6.2;864.501261338153"
"6.3;866.696296287858"
"6.4;878.204593500422"
"6.5;875.136821273652"
"6.6;917"
"6.7;892.643762046617"
"6.8;898.624077374476"
"6.9;838.263098205745"
"7;848.707136048756"
"7.1;878.311813660788"
"7.2;853.293776242169"
"7.3;857.761282924065"
"7.4;705.535129318713"
"7.5;580.848672459097"
"7.6;650.766806662876"
"7.7;624.736134396361"
"7.8;787.710778151933"
"7.9;869.104758309356"
"8;775.529683644428"
"8.1;543.248812518575"
"8.2;552.302959393885"
"8.3;567.242301738145"
"8.4;572.054597385058"
"8.5;671.345702521388"
"8.6;690.021298707804"
"8.7;542.240062459097"
"8.8;689.723037332714"
"8.9;898.784654699418"
"9;871.964644908286"
"9.1;871.964644908286"
"9.2;874.17788081114"
"9.3;740.855568072207"
"9.4;650.766806662876"
"9.5;631.275240472974"
"9.6;553.308975713363"
"9.7;677.207827691284"
"9.8;597.067376346484"
"9.9;577.201863300986"
"10;648.126013824243"
"10.1;754.512239609131"
"10.2;792.237851589585"
"10.3;591.645936144698"
"10.4;591.645936144698"
"10.5;591.645936144698"
"10.6;593.871552460941"
"10.7;597.209976935305"
"10.8;621.145392178318"
"10.9;676.994694412012"
"11;676.994694412012"
"11.1;595.274591562486"
"11.2;621.882593019886"
"11.3;633.286022215915"
"11.4;633.286022215915"
"11.5;595.886677962685"
"11.6;558.487333709457"
"11.7;558.487333709457"
"11.8;558.487333709457"
"11.9;558.487333709457"
"12;558.487333709457"
"12.1;558.487333709457"
"12.2;558.487333709457"
"12.3;544.25062119856"
"12.4;522.895552432216"
"12.5;543.773193616767"
"12.6;627.283758354973"
"12.7;627.283758354973"
"12.8;627.283758354973"
"12.9;627.283758354973"
"13;576.089352666625"
"13.1;525.199961107887"
"13.2;564.053286568569"
"13.3;564.053286568569"
"13.4;591.09853697385"
"13.5;602.689358576113"
"13.6;602.689358576113"
"13.7;602.689358576113"
"13.8;600.621484239487"
"13.9;595.796444120694"
"14;595.796444120694"
"14.1;595.796444120694"
"14.2;608.747720286705"
"14.3;621.698996452716"
"14.4;703.453241487695"
"14.5;703.453241487695"
"14.6;703.453241487695"
"14.7;703.453241487694"
"14.8;631.46374166988"
"14.9;631.46374166988"
"15;631.46374166988"
"15.1;623.296202389941"
"15.2;623.057163588644"
"15.3;639.282777756826"
"15.4;639.282777756826"
"15.5;640.768323392841"
"15.6;642.996641846863"
"15.7;642.996641846863"
"15.8;642.996641846863"
"15.9;599.396492803753"
"16;647.795995350417"
"16.1;687.329021888711"
"16.2;687.329021888711"
"16.3;687.329021888711"
"16.4;672.368708635678"
"16.5;612.527455623555"
"16.6;612.527455623555"
"16.7;612.527455623555"
"16.8;612.527455623555"
"16.9;604.435401015532"
"17;602.412387363526"
"17.1;602.412387363526"
"17.2;698.798369341695"
"17.3;698.798369341695"
"17.4;648.258317103146"
"17.5;597.718264864597"
"17.6;597.718264864597"
"17.7;597.718264864597"
"17.8;603.356722409298"
"17.9;605.77320421417"
"18;605.773204214173"
"18.1;702.912405157843"
"18.2;702.91240515784"
"18.3;642.143108078147"
"18.4;642.143108078147"
"18.5;642.143108078147"
"18.6;638.575620584316"
"18.7;606.468233139841"
"18.8;606.468233139841"
"18.9;606.468233139841"
"19;606.468233139841"
"19.1;615.888404006587"
"19.2;700.66994180729"
"19.3;700.66994180729"
"19.4;700.66994180729"
"19.5;700.66994180729"
"19.6;700.66994180729"
"19.7;672.814379377778"
"19.8;669.719316885611"
"19.9;661.471347332778"
"20;628.479469121455"
"20.1;628.479469121455"
"20.2;628.479469121455"
"20.3;628.479469121455"
"20.4;633.694845482308"
"20.5;680.633232729977"
"20.6;680.633232729977"
"20.7;680.633232729977"
"20.8;698.917774795399"
"20.9;717.202316860819"
"21;651.073301790498"
"21.1;634.541048022919"
"21.2;633.541125420764"
"21.3;624.541822001377"
"21.4;624.541822001377"
"21.5;624.541822001377"
"21.6;624.541822001377"
"21.7;633.854357936949"
"21.8;671.104501679231"
"21.9;671.104501679231"
"22;647.38425599161"
"22.1;637.218436411202"
"22.2;637.218436411202"
"22.3;637.218436411202"
"22.4;622.225061436817"
"22.5;562.251561539297"
"22.6;736.90445524004"
"22.7;736.90445524004"
"22.8;685.213226930623"
"22.9;679.469757118467"
"23;679.469757118467"
"23.1;679.469757118467"
"23.2;662.275286475762"
"23.3;622.154854976117"
"23.4;622.154854976118"
"23.5;655.123075953562"
"23.6;655.123075953562"
"23.7;655.123075953562"
"23.8;655.123075953562"
"23.9;655.123075953562"
"24;671.398796466917"
"24.1;675.467726595256"
