depth_m;density_kgm3
"0.1;295"
"0.2;315"
"0.3;315"
"0.4;320"
"0.5;310"
"0.6;316"
"0.7;350"
"0.8;295"
"0.9;250"
"1;275"
"1.1;335"
"1.2;296"
"1.3;285"
"1.4;290"
"1.5;270"
"1.6;410"
"1.7;290"
"1.8;340"
"1.9;380"
"2;310"
"2.1;293.5"
"2.2;310"
"2.3;327.5"
"2.4;325"
"2.5;398"
"2.6;415"
"2.7;505"
"2.8;340.000000000001"
"2.9;385"
"3;415"
"3.1;370"
"3.2;320"
"3.3;305.000000000001"
"3.4;430"
"3.5;355"
"3.6;405"
"3.7;370"
"3.8;429.999999999999"
"3.9;315"
"4;275"
"4.1;351.5"
"4.2;314"
"4.3;370"
"4.4;487.499999999999"
"4.5;379.000000000001"
"4.6;399.499999999999"
"4.7;556.000000000001"
"4.8;375"
"4.9;393.5"
"5;401"
"5.1;391.5"
"5.2;390"
"5.3;420"
"5.4;440"
"5.5;435"
"5.6;430"
"5.7;490"
"5.8;455"
"5.9;500"
"6;495"
"6.1;467"
"6.2;444"
"6.3;444"
"6.4;444"
"6.5;444"
"6.6;456.04"
"6.7;461.2"
"6.8;461.2"
"6.9;461.2"
"7;461.2"
"7.1;461.2"
"7.2;461.2"
"7.3;461.2"
"7.4;461.2"
"7.5;461.2"
"7.6;461.2"
"7.7;461.2"
"7.8;466.225"
"7.9;477.95"
"8;477.95"
"8.1;477.95"
"8.2;477.95"
"8.3;477.95"
"8.4;477.95"
"8.5;477.95"
"8.6;477.95"
"8.7;477.95"
"8.8;477.95"
"8.9;477.95"
"9;477.95"
"9.1;495.2999"
"9.2;495.2999"
"9.3;495.2999"
"9.4;495.2999"
"9.5;495.2999"
"9.6;495.2999"
"9.7;495.2999"
"9.8;495.2999"
"9.9;495.2999"
"10;495.2999"
"10.1;495.2999"
"10.2;496.33991"
"10.3;505.7"
"10.4;505.7"
"10.5;505.7"
"10.6;505.7"
"10.7;505.7"
"10.8;505.7"
"10.9;505.7"
"11;505.7"
"11.1;505.7"
"11.2;505.7"
"11.3;510.26"
"11.4;520.9"
"11.5;520.9"
"11.6;520.9"
"11.7;520.9"
"11.8;520.9"
"11.9;520.9"
"12;520.9"
"12.1;520.9"
"12.2;520.9"
"12.3;520.9"
"12.4;520.9"
"12.5;520.9"
"12.6;524.53"
"12.7;533"
"12.8;533"
"12.9;533"
"13;533"
"13.1;533"
"13.2;533"
"13.3;533"
"13.4;533"
"13.5;533"
"13.6;533"
"13.7;533"
"13.8;534.36998"
"13.9;539.8499"
"14;539.8499"
"14.1;539.8499"
"14.2;539.8499"
"14.3;539.8499"
"14.4;539.8499"
"14.5;539.8499"
"14.6;539.8499"
"14.7;539.8499"
"14.8;539.8499"
"14.9;539.8499"
"15;549.57997"
"15.1;553.75"
"15.2;553.75"
"15.3;553.75"
"15.4;553.75"
"15.5;553.75"
"15.6;553.75"
"15.7;553.75"
"15.8;553.75"
"15.9;553.75"
"16;553.75"
"16.1;553.75"
"16.2;557.74"
"16.3;560.4"
"16.4;560.4"
"16.5;560.4"
"16.6;560.4"
"16.7;560.4"
"16.8;560.4"
"16.9;560.4"
"17;560.4"
"17.1;560.4"
"17.2;560.4"
"17.3;560.4"
"17.4;562.18998"
"17.5;569.3499"
"17.6;569.3499"
"17.7;569.3499"
"17.8;569.3499"
"17.9;569.3499"
"18;569.3499"
"18.1;569.3499"
"18.2;569.3499"
"18.3;569.3499"
"18.4;569.3499"
"18.5;569.3499"
"18.6;569.3499"
"18.7;571.30992"
"18.8;579.15"
"18.9;579.15"
"19;579.15"
"19.1;579.15"
"19.2;579.15"
"19.3;579.15"
"19.4;579.15"
"19.5;579.15"
"19.6;579.15"
"19.7;579.15"
"19.8;579.15"
"19.9;579.15"
"20;584.415"
"20.1;585"
"20.2;585"
"20.3;585"
"20.4;585"
"20.5;585"
"20.6;585"
"20.7;585"
"20.8;585"
"20.9;585"
"21;585"
"21.1;586.95"
"21.2;588.9"
"21.3;588.9"
"21.4;588.9"
"21.5;588.9"
"21.6;588.9"
"21.7;588.9"
"21.8;588.9"
"21.9;588.9"
"22;588.9"
"22.1;588.9"
"22.2;588.9"
