depth_m;temperature_degC
"0.1;-6.57181755240592"
"0.2;-7.22758041731186"
"0.3;-7.88334328221781"
"0.4;-8.53910614712375"
"0.5;-9.19486901202969"
"0.6;-9.85063187693564"
"0.7;-10.5063947418416"
"0.8;-11.1621576067475"
"0.9;-11.8179204716535"
"1;-12.4736833365594"
"1.1;-13.1294462014654"
"1.2;-13.7852090663713"
"1.3;-14.4409719312772"
"1.4;-15.0967347961832"
"1.5;-15.7524976610891"
"1.6;-16.4082605259951"
"1.7;-17.064023390901"
"1.8;-17.396948032"
"1.9;-17.4803026986667"
"2;-17.5636573653333"
"2.1;-17.669091128"
"2.2;-17.791593128"
"2.3;-17.914095128"
"2.4;-18.036597128"
"2.5;-18.0932276342857"
"2.6;-18.0989362057143"
"2.7;-18.1046447771429"
"2.8;-18.1103533485714"
"2.9;-18.11606192"
"3;-18.1217704914286"
"3.1;-18.1274790628571"
"3.2;-18.1107960608"
"3.3;-18.0768032608"
"3.4;-18.0428104608"
"3.5;-18.0088176608"
"3.6;-17.9748248608"
"3.7;-17.9408320608"
"3.8;-17.9068392608"
"3.9;-17.8728464608"
"4;-17.8388536608"
"4.1;-17.8048608608"
"4.2;-17.7646559392"
"4.3;-17.7196487392"
"4.4;-17.6746415392"
"4.5;-17.6296343392"
"4.6;-17.5846271392"
"4.7;-17.5396199392"
"4.8;-17.4946127392"
"4.9;-17.4496055392"
"5;-17.4045983392"
"5.1;-17.3595911392"
"5.2;-17.3157178048"
"5.3;-17.2727210048"
"5.4;-17.2297242048"
"5.5;-17.1867274048"
"5.6;-17.1437306048"
"5.7;-17.1007338048"
"5.8;-17.0577370048"
"5.9;-17.0147402048"
"6;-16.9717434048"
"6.1;-16.9287466048"
"6.2;-16.87756718"
"6.3;-16.82006218"
"6.4;-16.76255718"
"6.5;-16.70505218"
"6.6;-16.64754718"
"6.7;-16.59004218"
"6.8;-16.53253718"
"6.9;-16.47503218"
"7;-16.4488347072"
"7.1;-16.4468395072"
"7.2;-16.4448443072"
"7.3;-16.4428491072"
"7.4;-16.4408539072"
"7.5;-16.4388587072"
"7.6;-16.4368635072"
"7.7;-16.4348683072"
"7.8;-16.4328731072"
"7.9;-16.4308779072"
"8;-16.4279568858182"
"8.1;-16.4243201585455"
"8.2;-16.4206834312727"
"8.3;-16.417046704"
"8.4;-16.4134099767273"
"8.5;-16.4097732494545"
"8.6;-16.4061365221818"
"8.7;-16.4024997949091"
"8.8;-16.3988630676364"
"8.9;-16.3952263403636"
"9;-16.3915896130909"
"9.1;-16.3879528858182"
"9.2;-16.3843161585455"
"9.3;-16.3806794312727"
"9.4;-16.377042704"
"9.5;-16.3734059767273"
"9.6;-16.3697692494545"
"9.7;-16.3661325221818"
"9.8;-16.3624957949091"
"9.9;-16.3588590676364"
"10;-16.3552223403636"
"10.1;-16.3515856130909"
"10.2;-16.3496040628686"
"10.3;-16.3489020466781"
"10.4;-16.3482000304876"
"10.5;-16.3474980142971"
"10.6;-16.3467959981066"
"10.7;-16.3460939819161"
"10.8;-16.3453919657256"
"10.9;-16.3446899495351"
"11;-16.3439879333446"
"11.1;-16.3432859171541"
"11.2;-16.3425839009636"
"11.3;-16.3418818847731"
"11.4;-16.3411798685826"
"11.5;-16.3404778523921"
"11.6;-16.3397758362016"
"11.7;-16.3390738200111"
"11.8;-16.3383718038206"
"11.9;-16.3376697876301"
"12;-16.3369677714396"
"12.1;-16.3362657552491"
"12.2;-16.3355637390586"
"12.3;-16.3348617228681"
"12.4;-16.3341597066776"
"12.5;-16.3334576904871"
"12.6;-16.3327556742966"
"12.7;-16.3320536581061"
"12.8;-16.3313516419156"
"12.9;-16.3306496257251"
"13;-16.3299476095346"
"13.1;-16.3292455933441"
"13.2;-16.3285435771536"
"13.3;-16.3278415609631"
"13.4;-16.3271395447726"
"13.5;-16.3264375285821"
"13.6;-16.3257355123916"
"13.7;-16.3250334962011"
"13.8;-16.3243314800106"
"13.9;-16.3236294638201"
"14;-16.3229274476296"
"14.1;-16.3222254314391"
"14.2;-16.3215234152486"
"14.3;-16.3208213990581"
"14.4;-16.3201193828676"
"14.5;-16.3194173666771"
"14.6;-16.3187153504866"
"14.7;-16.3180133342961"
"14.8;-16.3173113181056"
"14.9;-16.3166093019151"
"15;-16.3159072857246"
"15.1;-16.3152052695341"
"15.2;-16.3145032533436"
"15.3;-16.3138012371531"
"15.4;-16.3130992209626"
"15.5;-16.3123972047721"
"15.6;-16.3116951885816"
"15.7;-16.3109931723911"
"15.8;-16.3102911562006"
"15.9;-16.3095891400101"
"16;-16.3088871238196"
"16.1;-16.3081851076291"
"16.2;-16.3074830914386"
"16.3;-16.3067810752481"
"16.4;-16.3060790590576"
"16.5;-16.3053770428671"
"16.6;-16.3046750266766"
"16.7;-16.3039730104861"
"16.8;-16.3032709942956"
"16.9;-16.3025689781051"
"17;-16.3018669619146"
"17.1;-16.3011649457241"
"17.2;-16.3004629295336"
"17.3;-16.2997609133431"
"17.4;-16.2990588971526"
"17.5;-16.2983568809621"
"17.6;-16.2976548647716"
"17.7;-16.2969528485811"
"17.8;-16.2962508323906"
"17.9;-16.2955488162001"
"18;-16.2948468000096"
"18.1;-16.2941447838191"
"18.2;-16.2934427676286"
"18.3;-16.2927407514381"
"18.4;-16.2920387352476"
"18.5;-16.2913367190571"
"18.6;-16.2906347028666"
"18.7;-16.2899326866761"
"18.8;-16.2892306704856"
"18.9;-16.2885286542951"
"19;-16.2878266381046"
"19.1;-16.2871246219141"
"19.2;-16.2864226057236"
"19.3;-16.2857205895331"
"19.4;-16.2850185733426"
"19.5;-16.2843165571521"
"19.6;-16.2836145409616"
"19.7;-16.2829125247711"
"19.8;-16.2822105085806"
"19.9;-16.2815084923901"
"20;-16.2808064761996"
"20.1;-16.2801044600091"
"20.2;-16.2794024438187"
"20.3;-16.2787004276281"
"20.4;-16.2779984114377"
"20.5;-16.2772963952471"
"20.6;-16.2765943790567"
"20.7;-16.2758923628662"
"20.8;-16.2751903466757"
"20.9;-16.2744883304852"
"21;-16.2737863142947"
"21.1;-16.2730842981042"
"21.2;-16.2723822819137"
"21.3;-16.2716802657232"
"21.4;-16.2709782495327"
"21.5;-16.2702762333422"
"21.6;-16.2695742171517"
"21.7;-16.2688722009612"
"21.8;-16.2681701847707"
"21.9;-16.2674681685802"
"22;-16.2667661523897"
"22.1;-16.2660641361992"
"22.2;-16.2653621200087"
"22.3;-16.2646601038182"
"22.4;-16.2639580876277"
"22.5;-16.2632560714372"
"22.6;-16.2625540552467"
"22.7;-16.2618520390562"
"22.8;-16.2611500228657"
"22.9;-16.2604480066752"
"23;-16.2597459904847"
"23.1;-16.2590439742942"
"23.2;-16.2583419581037"
"23.3;-16.2576399419132"
"23.4;-16.2569379257227"
"23.5;-16.2562359095322"
"23.6;-16.2555338933417"
"23.7;-16.2548318771512"
"23.8;-16.2541298609607"
"23.9;-16.2534278447702"
"24;-16.2527258285797"
"24.1;-16.2520238123892"
"24.2;-16.2513217961987"
"24.3;-16.2506197800082"
"24.4;-16.2499177638177"
"24.5;-16.2492157476272"
"24.6;-16.2485137314367"
