depth_m;temperature_degC
"0.1;-12.03436"
"0.2;-12.26636"
"0.3;-12.49836"
"0.4;-12.73036"
"0.5;-12.96236"
"0.6;-13.19436"
"0.7;-13.42636"
"0.8;-13.65836"
"0.9;-13.89036"
"1;-14.12236"
"1.1;-14.331995"
"1.2;-14.350995"
"1.3;-14.369995"
"1.4;-14.388995"
"1.5;-14.407995"
"1.6;-14.426995"
"1.7;-14.445995"
"1.8;-14.464995"
"1.9;-14.483995"
"2;-14.502995"
"2.1;-14.51811"
"2.2;-14.50011"
"2.3;-14.48211"
"2.4;-14.46411"
"2.5;-14.44611"
"2.6;-14.42811"
"2.7;-14.41011"
"2.8;-14.39211"
"2.9;-14.37411"
"3;-14.35611"
"3.1;-14.33244"
"3.2;-14.26044"
"3.3;-14.18844"
"3.4;-14.11644"
"3.5;-14.04444"
"3.6;-13.97244"
"3.7;-13.90044"
"3.8;-13.82844"
"3.9;-13.75644"
"4;-13.68444"
"4.1;-13.61412"
"4.2;-13.55812"
"4.3;-13.50212"
"4.4;-13.44612"
"4.5;-13.39012"
"4.6;-13.33412"
"4.7;-13.27812"
"4.8;-13.22212"
"4.9;-13.16612"
"5;-13.11012"
"5.1;-13.038055"
"5.2;-12.829055"
"5.3;-12.620055"
"5.4;-12.411055"
"5.5;-12.202055"
"5.6;-11.993055"
"5.7;-11.784055"
"5.8;-11.575055"
"5.9;-11.366055"
"6;-11.157055"
"6.1;-10.9698110757645"
"6.2;-10.9680117973308"
"6.3;-10.9662125188971"
"6.4;-10.9644132404634"
"6.5;-10.9626139620297"
"6.6;-10.960814683596"
"6.7;-10.9590154051623"
"6.8;-10.9572161267286"
"6.9;-10.9554168482949"
"7;-10.9536175698612"
"7.1;-10.9518182914275"
"7.2;-10.9500190129938"
"7.3;-10.9482197345601"
"7.4;-10.9464204561264"
"7.5;-10.9446211776927"
"7.6;-10.942821899259"
"7.7;-10.9410226208253"
"7.8;-10.9392233423916"
"7.9;-10.9374240639579"
"8;-10.9356247855242"
"8.1;-10.9338255070905"
"8.2;-10.9320262286568"
"8.3;-10.9302269502231"
"8.4;-10.9284276717894"
"8.5;-10.9266283933557"
"8.6;-10.924829114922"
"8.7;-10.9230298364883"
"8.8;-10.9212305580546"
"8.9;-10.9194312796209"
"9;-10.9176320011872"
"9.1;-10.9158327227535"
"9.2;-10.9140334443198"
"9.3;-10.9122341658861"
"9.4;-10.9104348874524"
"9.5;-10.9086356090187"
"9.6;-10.906836330585"
"9.7;-10.9050370521513"
"9.8;-10.9032377737176"
"9.9;-10.9014384952839"
"10;-10.8996392168502"
"10.1;-10.8978399384165"
"10.2;-10.8960406599828"
"10.3;-10.894241381549"
"10.4;-10.8924421031153"
"10.5;-10.8906428246816"
"10.6;-10.8888435462479"
"10.7;-10.8870442678142"
"10.8;-10.8852449893805"
"10.9;-10.8834457109468"
"11;-10.8816464325131"
"11.1;-10.8798471540794"
"11.2;-10.8780478756457"
"11.3;-10.876248597212"
"11.4;-10.8744493187783"
"11.5;-10.8726500403446"
"11.6;-10.8708507619109"
"11.7;-10.8690514834772"
"11.8;-10.8672522050435"
"11.9;-10.8654529266098"
"12;-10.8636536481761"
"12.1;-10.8618543697424"
"12.2;-10.8600550913087"
"12.3;-10.858255812875"
"12.4;-10.8564565344413"
"12.5;-10.8546572560076"
"12.6;-10.8528579775739"
"12.7;-10.8510586991402"
"12.8;-10.8492594207065"
"12.9;-10.8474601422728"
"13;-10.8456608638391"
"13.1;-10.8438615854054"
"13.2;-10.8420623069717"
"13.3;-10.840263028538"
"13.4;-10.8384637501043"
"13.5;-10.8366644716706"
"13.6;-10.8348651932369"
"13.7;-10.8330659148032"
"13.8;-10.8312666363695"
"13.9;-10.8294673579358"
"14;-10.8276680795021"
"14.1;-10.8258688010684"
"14.2;-10.8240695226347"
"14.3;-10.822270244201"
"14.4;-10.8204709657673"
"14.5;-10.8186716873336"
"14.6;-10.8168724088999"
"14.7;-10.8150731304662"
"14.8;-10.8132738520325"
"14.9;-10.8114745735988"
"15;-10.8096752951651"
"15.1;-10.8078760167314"
"15.2;-10.8060767382977"
"15.3;-10.804277459864"
"15.4;-10.8024781814303"
"15.5;-10.8006789029966"
"15.6;-10.7988796245629"
"15.7;-10.7970803461292"
"15.8;-10.7952810676955"
"15.9;-10.7934817892618"
"16;-10.7916825108281"
"16.1;-10.7898832323944"
"16.2;-10.7880839539607"
"16.3;-10.786284675527"
"16.4;-10.7844853970933"
"16.5;-10.7826861186596"
"16.6;-10.7808868402259"
"16.7;-10.7790875617922"
"16.8;-10.7772882833585"
"16.9;-10.7754890049248"
"17;-10.7736897264911"
"17.1;-10.7718904480574"
"17.2;-10.7700911696237"
"17.3;-10.76829189119"
"17.4;-10.7664926127563"
"17.5;-10.7646933343226"
"17.6;-10.7628940558889"
"17.7;-10.7610947774552"
"17.8;-10.7592954990215"
"17.9;-10.7574962205878"
"18;-10.7556969421541"
"18.1;-10.7538976637204"
"18.2;-10.7520983852867"
"18.3;-10.750299106853"
"18.4;-10.7484998284193"
"18.5;-10.7467005499856"
"18.6;-10.7449012715519"
"18.7;-10.7431019931182"
"18.8;-10.7413027146845"
"18.9;-10.7395034362508"
"19;-10.7377041578171"
"19.1;-10.7359048793834"
"19.2;-10.7341056009497"
"19.3;-10.732306322516"
"19.4;-10.7305070440823"
"19.5;-10.7287077656486"
"19.6;-10.7269084872149"
"19.7;-10.7251092087812"
"19.8;-10.7233099303475"
"19.9;-10.7215106519138"
"20;-10.7197113734801"
"20.1;-10.7179120950464"
"20.2;-10.7161128166127"
"20.3;-10.714313538179"
"20.4;-10.7125142597453"
"20.5;-10.7107149813116"
"20.6;-10.7089157028779"
"20.7;-10.7071164244442"
"20.8;-10.7053171460105"
"20.9;-10.7035178675768"
"21;-10.7017185891431"
"21.1;-10.6999193107094"
"21.2;-10.6981200322757"
"21.3;-10.696320753842"
"21.4;-10.6945214754083"
"21.5;-10.6927221969746"
"21.6;-10.6909229185409"
"21.7;-10.6891236401072"
"21.8;-10.6873243616735"
"21.9;-10.6855250832398"
"22;-10.6837258048061"
"22.1;-10.6819265263724"
"22.2;-10.6801272479387"
"22.3;-10.678327969505"
"22.4;-10.6765286910713"
"22.5;-10.6747294126376"
"22.6;-10.6729301342039"
"22.7;-10.6711308557702"
"22.8;-10.6693315773365"
"22.9;-10.6675322989028"
"23;-10.6657330204691"
"23.1;-10.6639337420354"
"23.2;-10.6621344636017"
"23.3;-10.660335185168"
"23.4;-10.6585359067343"
"23.5;-10.6567366283006"
"23.6;-10.6549373498669"
"23.7;-10.6531380714332"
"23.8;-10.6513387929995"
"23.9;-10.6495395145658"
"24;-10.6477402361321"
"24.1;-10.6459409576984"
"24.2;-10.6441416792647"
"24.3;-10.642342400831"
"24.4;-10.6405431223973"
"24.5;-10.6387438439636"
"24.6;-10.6369445655299"
"24.7;-10.6351452870962"
"24.8;-10.6333460086625"
"24.9;-10.6315467302288"
"25;-10.6297474517951"
"25.1;-10.6279481733614"
"25.2;-10.6261488949277"
"25.3;-10.624349616494"
"25.4;-10.6225503380603"
"25.5;-10.6207510596266"
"25.6;-10.6189517811929"
"25.7;-10.6171525027592"
"25.8;-10.6153532243255"
"25.9;-10.6135539458918"
"26;-10.6117546674581"
"26.1;-10.6099553890244"
"26.2;-10.6081561105907"
"26.3;-10.606356832157"
"26.4;-10.6045575537233"
"26.5;-10.6027582752896"
"26.6;-10.6009589968559"
"26.7;-10.5991597184222"
"26.8;-10.5973604399885"
"26.9;-10.5955611615548"
"27;-10.5937618831211"
"27.1;-10.5919626046874"
"27.2;-10.5901633262537"
"27.3;-10.58836404782"
"27.4;-10.5865647693863"
"27.5;-10.5847654909526"
"27.6;-10.5829662125189"
"27.7;-10.5811669340852"
"27.8;-10.5793676556515"
"27.9;-10.5775683772178"
"28;-10.5757690987841"
"28.1;-10.5739698203504"
"28.2;-10.5721705419167"
"28.3;-10.570371263483"
"28.4;-10.5685719850493"
"28.5;-10.5667727066156"
"28.6;-10.5649734281819"
"28.7;-10.5631741497482"
"28.8;-10.5613748713145"
"28.9;-10.5595755928808"
"29;-10.5577763144471"
"29.1;-10.5559770360134"
"29.2;-10.5541777575797"
"29.3;-10.552378479146"
"29.4;-10.5505792007123"
"29.5;-10.5487799222786"
"29.6;-10.5469806438449"
"29.7;-10.5451813654112"
"29.8;-10.5433820869775"
"29.9;-10.5415828085438"
"30;-10.5397835301101"
"30.1;-10.5379842516764"
"30.2;-10.5361849732427"
"30.3;-10.534385694809"
"30.4;-10.5325864163753"
"30.5;-10.5307871379416"
"30.6;-10.5289878595079"
"30.7;-10.5271885810742"
"30.8;-10.5253893026405"
"30.9;-10.5235900242068"
"31;-10.5217907457731"
"31.1;-10.5199914673394"
"31.2;-10.5181921889057"
"31.3;-10.516392910472"
"31.4;-10.5145936320383"
"31.5;-10.5127943536046"
"31.6;-10.5109950751709"
"31.7;-10.5091957967372"
"31.8;-10.5073965183035"
"31.9;-10.5055972398698"
"32;-10.5037979614361"
"32.1;-10.5019986830024"
"32.2;-10.5001994045687"
"32.3;-10.498400126135"
"32.4;-10.4966008477013"
"32.5;-10.4948015692676"
"32.6;-10.4930022908339"
"32.7;-10.4912030124002"
"32.8;-10.4894037339665"
"32.9;-10.4876044555328"
"33;-10.4858051770991"
"33.1;-10.4840058986654"
"33.2;-10.4822066202317"
"33.3;-10.480407341798"
"33.4;-10.4786080633643"
"33.5;-10.4768087849306"
"33.6;-10.4750095064969"
"33.7;-10.4732102280632"
"33.8;-10.4714109496295"
"33.9;-10.4696116711958"
"34;-10.4678123927621"
"34.1;-10.4660131143284"
"34.2;-10.4642138358947"
"34.3;-10.462414557461"
"34.4;-10.4606152790273"
"34.5;-10.4588160005936"
"34.6;-10.4570167221599"
"34.7;-10.4552174437262"
"34.8;-10.4534181652925"
"34.9;-10.4516188868588"
"35;-10.4498196084251"
"35.1;-10.4480203299914"
"35.2;-10.4462210515577"
"35.3;-10.444421773124"
"35.4;-10.4426224946903"
"35.5;-10.4408232162566"
"35.6;-10.4390239378229"
"35.7;-10.4372246593892"
"35.8;-10.4354253809555"
"35.9;-10.4336261025218"
"36;-10.4318268240881"
"36.1;-10.4300275456544"
"36.2;-10.4282282672207"
"36.3;-10.426428988787"
"36.4;-10.4246297103533"
"36.5;-10.4228304319196"
"36.6;-10.4210311534859"
"36.7;-10.4192318750522"
"36.8;-10.4174325966185"
"36.9;-10.4156333181848"
"37;-10.4138340397511"
"37.1;-10.4120347613174"
"37.2;-10.4102354828837"
"37.3;-10.40843620445"
"37.4;-10.4066369260163"
"37.5;-10.4048376475826"
"37.6;-10.4030383691489"
"37.7;-10.4012390907152"
"37.8;-10.3994398122815"
"37.9;-10.3976405338478"
"38;-10.3958412554141"
"38.1;-10.3940419769804"
"38.2;-10.3922426985467"
"38.3;-10.390443420113"
"38.4;-10.3886441416793"
"38.5;-10.3868448632456"
"38.6;-10.3850455848119"
"38.7;-10.3832463063782"
"38.8;-10.3814470279445"
"38.9;-10.3796477495108"
"39;-10.3778484710771"
"39.1;-10.3760491926434"
"39.2;-10.3742499142097"
"39.3;-10.372450635776"
"39.4;-10.3706513573423"
"39.5;-10.3688520789086"
"39.6;-10.3670528004749"
"39.7;-10.3652535220412"
"39.8;-10.3634542436075"
"39.9;-10.3616549651738"
"40;-10.3598556867401"
"40.1;-10.3580564083064"
"40.2;-10.3562571298727"
"40.3;-10.354457851439"
"40.4;-10.3526585730053"
"40.5;-10.3508592945716"
"40.6;-10.3490600161379"
"40.7;-10.3472607377042"
"40.8;-10.3454614592705"
"40.9;-10.3436621808368"
"41;-10.3418629024031"
"41.1;-10.3400636239694"
"41.2;-10.3382643455357"
"41.3;-10.336465067102"
"41.4;-10.3346657886683"
"41.5;-10.3328665102346"
"41.6;-10.3310672318009"
"41.7;-10.3292679533672"
"41.8;-10.3274686749335"
"41.9;-10.3256693964998"
"42;-10.3238701180661"
"42.1;-10.3220708396324"
"42.2;-10.3202715611987"
"42.3;-10.318472282765"
"42.4;-10.3166730043313"
"42.5;-10.3148737258976"
"42.6;-10.3130744474639"
"42.7;-10.3112751690302"
"42.8;-10.3094758905965"
"42.9;-10.3076766121628"
"43;-10.3058773337291"
"43.1;-10.3040780552954"
