0.6m,0.6m,0.3m,0.3m,0.9m,0.9m,1.4m,1.4m,1.8m,1.8m,2.1m,2.1m
2.249097455,0.003094935,1.194671731,0.003324352,1.353516352,0.003218982,0.473063309,0.002970155,0.899674577,0.001653325,0.344385817,0.001954271
3.168883452,0.003412948,1.988894837,0.003072553,2.329276168,0.003004283,0.740829956,0.001960443,1.898126482,0.001693765,1.240055908,0.002042277
3.168883452,0.004205647,3.168883452,0.004471435,3.311519438,0.003462242,1.663641565,0.003105893,2.857677663,0.001778617,2.289863593,0.002074194
4.802713841,0.003995815,6.436544231,0.004625312,4.379128185,0.003331346,1.807358127,0.002170275,3.895030291,0.002015762,3.259651807,0.002427796
6.255007521,0.004003445,7.88883791,0.004576351,5.51070701,0.003811163,2.65452944,0.002974632,4.893482196,0.002059509,4.204710561,0.002564019
6.515966541,0.004688261,8.478832218,0.004583345,6.355861249,0.003758005,3.441188517,0.004919077,5.891934101,0.002094608,5.256555616,0.002476333
7.556020609,0.004485053,15.44076504,0.003122913,7.344227781,0.003855927,3.452534561,0.003667369,6.890386006,0.001992871,6.255007521,0.0022523
8.206527153,0.003198453,16.22818052,0.003497463,7.629499753,0.002958644,4.332368729,0.003499848,7.88883791,0.002042286,7.253459426,0.002210715
8.388063863,0.004669998,17.02921126,0.003047373,8.376717818,0.003510869,4.621177131,0.002764799,8.887289815,0.001989056,8.25191133,0.002258023
10.70265691,0.003156486,17.49212987,0.003509004,9.286670577,0.003668477,5.36245203,0.004324552,9.88574172,0.001994143,9.250363235,0.002532712
11.83726135,0.003848932,18.55411962,0.003765,10.36551731,0.003522194,5.87378043,0.00247663,10.88419362,0.001965184,10.22720363,0.002898692
13.09289026,0.003221767,20.64179178,0.003618117,11.32593295,0.003087661,6.351448898,0.003801102,11.88264553,0.001953902,11.30459443,0.003023961
14.92986888,0.002730827,22.28210563,0.003660083,12.24571895,0.002440725,6.69977246,0.00469036,12.88109743,0.001906268,12.26173689,0.002939248
16.05798986,0.003519305,23.30649135,0.003612122,12.3364873,0.003624476,7.162691071,0.001783039,13.87954934,0.001941367,13.24417085,0.002935209
16.33029492,0.00268341,23.95483674,0.003844736,13.3000283,0.00304298,7.687130455,0.003004474,14.87800124,0.001898801,14.24262276,0.002847461
17.16666048,0.00342627,24.69106895,0.004989021,13.98847136,0.002657325,7.695955156,0.00436452,15.87645315,0.001931829,15.24107466,0.002938479
17.97320215,0.003583145,25.01001887,0.005564311,14.98821996,0.002834023,8.161142975,0.001794484,16.87490505,0.001989056,16.23952657,0.00298099
18.73565633,0.003754508,25.77020384,0.00494006,15.97154381,0.003009245,8.43344804,0.004994616,17.87335696,0.00207655,17.23797847,0.002851276
20.0064133,0.002516498,25.79495885,0.00634212,16.88787196,0.003276007,8.656877837,0.003608894,18.87180886,0.002162935,18.25458405,0.003034783
20.14256583,0.003587596,26.72327157,0.004564693,17.55154188,0.002897057,9.15959488,0.001809745,19.89414718,0.002189181,19.23488228,0.002927578
21.1319409,0.003542577,27.6763393,0.005012002,18.2666865,0.003444256,9.652337379,0.004229628,20.83694375,0.002314942,20.23333419,0.003103074
22.13946964,0.003630834,27.6763393,0.006888002,18.85884195,0.002778788,10.15804678,0.001771594,21.88318252,0.002656798,21.23178609,0.003076368
